MONTH,TMIN,TMAX,PRCP
1,-8.615715667922203,1.1179593378249677,16.139715597187802
2,-7.2539844571687615,3.252431417913645,17.45390982504295
3,-1.6820623164906439,9.79665153725279,22.495729749018675
4,3.9780441919467937,16.52025234905543,33.84505428513746
5,10.186761217514784,22.368373465035695,39.092626306614775
6,15.655915004415002,27.455556762193616,40.49751066258651
7,17.801225092638564,29.465188409893283,33.338497498164735
8,16.696338503640522,28.63839552350609,31.909691079971633
9,12.223576132657625,25.158060388649005,29.09276962347614
10,5.755786694193857,18.049662642311088,26.75160824618883
11,-0.45552015160073994,10.228568104641738,21.485044809342163
12,-5.639669536082409,3.6674545479756313,18.441927420462896
